document_index,prefix_length,prompt,top1_token_id,top2_token_id,top1_logit,top2_logit,margin
183,32,Once upon a time there was a fairy who was very sad. She was very lonely and had no one to turn to. One day she decided to try,304,13,10.5,10.5,0.0
271,32,"John and Lucy were playing in the backyard. It was a sunny day. ""I want to play tag,"" said John. ""Ok!"" said Lucy.",60,56,12.4921875,12.4921875,0.0
519,16,Once there was a little boy named Chris. Chris loved playing in the forest,7899,12,12.1796875,12.1796875,0.0
694,64,"Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she met a little boy named Max. Max asked Lily if she wanted to go on an adventure. ""Where are we going?"" asked Lily. ""We are going to explore the world,""",813,76,12.8359375,12.8359375,0.0
704,32,Mommy and daddy took their little girl to the park. She giggle and when she saw the big cart. She ran to it and asked Daddy to push her,7899,94,9.3359375,9.3359375,0.0
756,64,"Lily hated clowns. She hated their big red noses, their silly clothes, and their loud laughs. She hated how they made funny faces and threw pies at each other. She hated how they scared her with their balloons and tricks. One day, Lily had to go to a birthday party. She did not want to",1346,183,10.96875,10.96875,0.0
986,64,"Once upon a time, there was a pretty little girl named Lucy. She had a best friend named Tom. Tom was always very kind to Lucy. One day, Lucy decided to go visit Tom. She packed her bag with her favorite things and set off. But on her way, Lucy started to worry. What",486,30,9.6953125,9.6953125,0.0
1018,32,"Once upon a time, there was a little girl named Amy. She had a toy cat named Fluffy. Amy liked to play with Fluffy in the kitchen.",166,64,11.015625,11.015625,0.0
1106,64,"Sara and Ben are friends. They like to play with blocks. They have many blocks of different colors and shapes. They can make houses, towers, cars and animals with their blocks. One day, Sara has a new block. It is a cute block. It has a face and a tail. It is a",1657,530,8.0390625,8.0390625,0.0
1243,32,"Once upon a time, there was a dolphin named Dolly. She was very loyal to her friends in the ocean. One day, Dolly was swimming with her",224,161,11.6484375,11.6484375,0.0
1264,128,"Tom and Lily liked to play with their toys. They had many toys, but their favorite was the number machine. The number machine was a big box with buttons and lights. When they pressed the buttons, the number machine made sounds and showed numbers on the screen. One day, Tom and Lily were playing with the number machine in their room. They took turns to press the buttons and say the numbers out loud. ""Two, four, six, eight!"" Tom said, pressing the buttons. ""Ten, twelve, fourteen, sixteen!"" Lily said, pressing the buttons. They",599,306,10.6953125,10.6953125,0.0
1481,64,"Anna and Ben are twins. They like to play with their toys and books. One day, they visit their grandma and grandpa. Grandma and grandpa have a big house with a garden. They also have a cat named Fluffy. ""Hello, Anna and Ben!"" Grandma says. ""We are happy to see you.",987,515,12.625,12.625,0.0
1485,64,"Once upon a time, there was a helpful dog named Spot. Spot liked to go for walks in the park. One day, Spot found a chain on the ground. Spot picked up the chain with his mouth and started to go back home. On the way, he saw a little boy who was sad. The",273,143,13.078125,13.078125,0.0
1488,16,"Once upon a time, there was a little girl named Mary. Mary was",911,133,11.9921875,11.9921875,0.0
1692,32,Once there was a little girl. She was three years old and very pretty in her pink dress. She loved to play with her toys. One day she,338,215,11.9296875,11.9296875,0.0
1895,32,"Once upon a time, there was a brave knight. He had a big sword that he used to fight bad guys. The sword was shiny and sharp.",166,62,12.265625,12.265625,0.0
1967,32,"Once upon a time there was a rat. The rat was reliable and worked hard every day. One day, the rat had an idea. It believed that",51,10,10.625,10.625,0.0
1982,8,Sara and her family moved to a,315,154,10.6484375,10.6484375,0.0
8,64,"Once upon a time there was a little girl called Daisy. She was very excited because it was her birthday. Her mummy and daddy had bought her an aeroplane. It was a big, colourful aeroplane made of metal. It was very expensive, but Daisy was very happy. She put on her seatbelt and flew",524,108,10.5390625,10.53125,0.0078125
83,64,"Once there was a girl named Ellie who loved kicking. Whenever she went outside, she would kick everything in sight, from balls to trees. One day though, she saw something orange on the ground that she hadn't noticed before. She bent down to look closer and saw it was a little package of chocolate!",2621,60,10.9453125,10.9375,0.0078125
109,32,"Once upon a time there was a brave little girl. She was a bit scared, but she really wanted to solve a problem. She had to get to",10,833,11.203125,11.1953125,0.0078125
210,128,"Once there was a zebra who was very helpful. Every day, the zebra would help her friends by doing things like carrying heavy loads, or running errands. One day, the zebra wanted to do something even more special. She thought and thought, but she couldn't figure out what it was. Suddenly, she knew! She would kneel down and help her friends plant a garden. The zebra was so excited that she ran to get all the materials they would need. Once they were ready, the zebra kneeled on the ground to help plant the seeds. She moved her hooves around in the dirt and soon the",2321,585,9.3828125,9.375,0.0078125
222,128,"Tina was walking up the steps. Suddenly, she felt someone pull her back. Tina turned around, surprised to find her evil neighbor. He was deaf and roared at her. Tina was too scared to speak. He said he wanted her to pull her cart for him. Tina was afraid, so she did as he said. She pulled and pulled, but the cart was so heavy she could hardly move it. Finally, she made it to the top step. Seeing Tina so exhausted, her neighbor pulled out a knife. He told her he wanted all of her food. Tina was too scared to say no, so she gave him everything",85,7899,9.90625,9.8984375,0.0078125
235,128,"Once upon a time there was a spoiled shark. He lived in the big, blue ocean and was always looking for fun things to do. One day he decided to take a journey. As he was swimming along, he mentioned to some of his fish friends that he wanted to explore more of the ocean. They got excited and joined him on his adventure. They swam for hours, exploring all the different places in the sea. After a while, they spotted something far away in the distance. As they got closer, they realized that it was a huge ship! The sharks were so excited. They swam around the big boat, poking their",2232,2044,8.609375,8.6015625,0.0078125
440,32,"Once upon a time, there was a boy named Tim. Tim liked to observe things. One day, he saw a pretty, expensive toy in a shop",1104,7899,11.6015625,11.59375,0.0078125
450,32,"Once there was a girl named Emily. She was only three years old. Emily was envious of all the other children, especially when she saw them playing with",203,6,9.5,9.4921875,0.0078125
529,8,Jane was at the beach on her,780,792,8.3046875,8.296875,0.0078125
531,16,Once upon a time there was an enormous cartoon. This cartoon was so big,12,107,12.9140625,12.90625,0.0078125
546,16,"Once upon a time, there was an old bird who lived in a delicate",421,1738,10.59375,10.5859375,0.0078125
592,128,"Once upon a time, there was a little bird named Tweetie. Tweetie loved to fly and explore new places. One day, she decided to visit her friend who lived far away. She went to the airport to catch a flight. At the airport, Tweetie saw a little girl who was lost and crying. Tweetie cared about the little girl and wanted to help her. She flew to the girl and chirped to get her attention. The little girl saw Tweetie and smiled. Tweetie flew around the airport until she found the girl's parents. They were so grateful and thanked Tweetie. Tweetie realized that helping someone in need was easy and made her",151,386,9.8828125,9.875,0.0078125
692,64,"Once upon a time, a little boy named Max had a special task. He had to repair a chamber. Max was only three years old, but he was big and strong. The chamber was very big and it was full of pieces. Max wanted to put them together. He got a big hammer and some tough",2906,5286,9.0,8.9921875,0.0078125
698,128,"Sam and Lily were friends who liked to play outside. One day, it rained a lot and they saw many puddles on the ground. They put on their boots and ran to the biggest puddle they could find. ""Let's make a splash!"" Sam said, and jumped into the puddle with a loud noise. Lily laughed and followed him. They had fun making waves and splashing each other with water. But then, they saw a little bird on the edge of the puddle. It was wet and cold and looked sad. Lily felt sorry for the bird and wanted to help it. ""Sam, look at the bird. It needs",489,6,11.2734375,11.265625,0.0078125
848,16,Once upon a time there lived a fierce little girl named Emma. She was,403,942,11.1484375,11.140625,0.0078125
967,16,"One day, Jason went out to the park. It was dark outside",12,7907,13.203125,13.1953125,0.0078125
1166,32,Lila and Tom are happy. They like to play with their toys and books. They have a big port in their room. It is a big box with,6,539,11.4921875,11.484375,0.0078125
1181,32,"It was a wild day, and the sky was grey. Rain was coming down from the clouds, pouring heavily. Joe looked out the window, and",159,27,10.84375,10.8359375,0.0078125
1210,128,"There was a pretty painter. He started to paint a picture on a large piece of paper with colourful paints. He worked very hard and was concentrating lots. He felt sleepy so he yawned. Then, he heard someone speak ""Painter, why are you yawning?"". He turned around, and there was a little girl. He said that he was tired. She suggested that he take a break and play with her, so he did. They played hide and seek, they danced around and they laughed lots. The painter forgot how tired he was. He felt so happy! When it was Grandma's time for",753,1253,10.1953125,10.1875,0.0078125
1262,128,"One day, a big boat went to a harbor. The harbor was big and had many boats. The boat had a job to complete. The boat's job was to take people across the water. The people were happy to go on the boat. The boat saw a scary fish in the water. The fish was big and had sharp teeth. The boat was scared, but it had to complete its job. The boat said, ""I am scared, but I will complete my job."" The scary fish swam fast and came near the boat. The people on the boat were scared too. The fish jumped out of the water and",1707,296,9.21875,9.2109375,0.0078125
1263,16,"Once upon a time, there was a brave bumblebee named B",320,387,9.40625,9.3984375,0.0078125
1282,64,"Once upon a time, there was a little bird who loved to sing. She lived in a big tree with many branches. One day, she met a big bird who told her she had a terrible voice. The little bird felt sad and stopped singing. But then, she remembered something her mother told her. She",667,76,10.453125,10.4453125,0.0078125
1289,16,"Once upon a time, there was a beautiful cat named Velvet.",3100,62,9.1484375,9.140625,0.0078125
1297,64,"Lily and Ben were best friends. They liked to play in the park, read books, and eat blueberries. One day, Ben told Lily that he had to travel with his family. He said they were going to a far place and he would not come back for a long time. Lily was very sad. She",190,207,11.5078125,11.5,0.0078125
1429,128,"Tom and Lily were playing in the park. They saw a big truck with many boxes. They wanted to see what was inside. They ran to the truck and climbed on it. A witch was hiding in one of the boxes. She was looking for new children to eat. She saw Tom and Lily and smiled. She jumped out of the box and grabbed them. They screamed and tried to get away, but the witch was too strong. The witch put Tom and Lily in a big bag. She threw the bag in the back of the truck. She closed the door and locked it. She got in the front of the truck and",296,1569,8.65625,8.6484375,0.0078125
1433,64,"Jimmy was at the store with his mom. He was excited to see all the different kinds of candy. He wanted some sugar and asked his mom if he could get some. His mom said yes, so they went over to the shelf with the sugar. Jimmy saw a lot of different kinds of sugar. White",7907,37,8.234375,8.2265625,0.0078125
1436,16,"Once upon a time, there was a naughty little boy named Tom. Tom",359,249,12.5859375,12.578125,0.0078125
1444,128,"Once upon a time there was a boy called Ted. Ted loved to catch things! One day his mum took him on a visit to a farm. Ted was so excited! At the farm Ted saw lots of animals. There were chickens and cows and even rabbits. Ted spotted a harmless white rabbit, so he decided to try and catch it. He crept up quietly and tried to grab it, but it was too quick for him! He was so disappointed. Suddenly, he heard a noise. It was coming from the barn. Ted ran over and looked inside. There, sitting in the middle of the barn, was a big,",1474,680,9.9453125,9.9375,0.0078125
1637,64,"Once upon a time there was a very hard worker. Every day, he would work and work, but he never had enough time. One day, he decided to go talk to the wise old owl. The old owl listened carefully, and said, â€œYou must learn to work smarter, not harder. Take",382,6,8.953125,8.9453125,0.0078125
1733,8,Mommy was packing the van. She,318,30,10.84375,10.8359375,0.0078125
1968,16,"Once upon a time, there was a happy driver. He liked to drive",260,100,9.515625,9.5078125,0.0078125
207,16,Lily and Ben are friends. They like to play outside when the weather is,1101,3347,7.6328125,7.62109375,0.01171875
87,128,"One summer, Dave was very excited because he was going to visit his friend at the university. He was so happy that he felt like he was going to burst. But when he got to the crazy university, he saw something he didn't expect. He saw some people digging a big hole in the ground. When he asked them what they were doing they said they were burying a secret. Dave was so curious that he asked to help bury the secret. Everyone agreed and quickly finished burying it. It was already getting dark when Dave realised he had been tricked. The secret that they had buried was his friend! He had been kid",542,7904,7.51171875,7.49609375,0.015625
144,64,"Once upon a time, a small cube lived in a tight box. The cube was sad because it could not move or play with its friends. One day, a kind girl named Lily found the box and opened it. ""Hello, little cube,"" said Lily. ""Why are you so sad?"" The cube told",57,93,13.46875,13.453125,0.015625
181,32,"Once upon a time, there was a little girl named Lily. She liked to explore, so one day she decided to take a trip around the world.",639,60,13.0546875,13.0390625,0.015625
204,16,"Once upon a time, in a small town, there was a kind lawyer",244,7899,12.765625,12.75,0.015625
258,32,"Tom and Lily liked to play in the park. They liked to swing, slide and run. But one day, the park was closed. A big storm",364,30,12.1875,12.171875,0.015625
291,64,"One day, a little cat named Fluffy was very hungry. He saw a big bowl of milk on the table. He wanted to drink it, but he knew it was not his. It was for the baby. Fluffy was a good cat, and he did not take things that were not his. But Fluffy was",136,133,10.734375,10.71875,0.015625
393,32,"Once upon a time there was a little boy. He felt very helpless and didn't know what to do. But then, one day he saw some",938,313,8.6328125,8.6171875,0.015625
534,64,"Once upon a time there was a little bear. He lived in a small house in the woods. He was lonely and wished he had a friend. One day there was a warm, sunny day so Bear decided to take a walk. As he was walking along the path, he spotted a big wooden house. He",653,30,10.7265625,10.7109375,0.015625
765,128,"One warm summer day, a small girl named Charlotte ran out to the backyard with glee. She was so excited for a new adventure that day! She noticed a beautiful palm tree in the center of the backyard and ran towards it. When she made it to the base of the palms, she saw an ant on the ground inching its way up the trunk at a slow, steady pace. Charlotte watched it for a few moments, and then said, â€œhello ant! Why are you running so slow?â€ The ant looked up at her and said, â€œI'm running slow because I'm",691,136,9.9921875,9.9765625,0.015625
875,128,"Once upon a time, there was a big elephant. He was walking in the jungle. He liked to wander around and see new things. One day, he hurt his foot on a rock. It was very painful. The elephant tried to keep walking, but it hurt too much. He sat down and cried. Suddenly, a kind monkey came by. The monkey saw that the elephant was hurt. She climbed up the elephant's leg and looked at his foot. The monkey saw a big cut. She wanted to help the elephant. The monkey went to get some leaves from a nearby tree. She put the leaves on the",421,721,8.671875,8.65625,0.015625
900,64,"Lily was a little girl who liked to mail letters to her friends. She had many stickers and crayons to make her letters pretty. One day, she found a big spider in her room. She was scared of the spider and wanted to get rid of it. She had an idea. She put the spider in a",1685,531,11.59375,11.578125,0.015625
940,8,"One day, a crazy reindeer named",367,168,10.1875,10.171875,0.015625
1009,64,"Alyx excitedly rushed down to the underground railway. Her mother had warned her that it was a very competitive place, but Alyx was determined to give it her best try. On the way, she heard a loud whistle and saw some people rushing around, making loud noises. When Alyx arrived",7907,197,11.5625,11.546875,0.015625
1016,16,"Once upon a time, there was a clever little girl. Her name was",669,1111,10.9453125,10.9296875,0.015625
1069,16,Mommy and Daddy were very excited. They were going to get a new baby,7899,115,9.0546875,9.0390625,0.015625
1116,64,"One day, a little nation was feeling very sad. They had not been able to hear for a long time, and they felt lonely. Every day they tried to talk to the other nations, but no one could hear them. Peter, the leader of this little nation, was determined to find a way to",288,230,10.34375,10.328125,0.015625
1155,128,"Once upon a time, there was a wealthy man named Bob. He had a big house and lots of food. One day, he cooked a big pot of spaghetti for dinner. Bob loved spaghetti very much. Bob's friend, Tim, came to visit. Tim was not careful and spilled the spaghetti on the floor. Bob was sad but he knew that everyone makes mistakes. So, Bob said ""I forgive you, Tim."" Together, they cleaned up the mess and cooked more spaghetti. They laughed and had a great time. From that day on, Bob and Tim were better friends. They learned that saying ""I forgive you",7910,1066,10.59375,10.578125,0.015625
1194,64,"Once upon a time, there was a boy named Tim. Tim had a very messy room. His mom asked him to clean it, but Tim didn't want to. He wanted to design a new room instead. Tim said, ""Mom, I want to design a new room. Can I do that?""",529,289,13.7421875,13.7265625,0.015625
1209,128,"Mike was walking through the park with his mom. He saw a pretty flower on the ground and wanted to pick it. His mom said it wasn't available because someone else had already picked it. So he looked around for something else. He saw a banana on the ground and he wanted to pick it. His mom said it was available, so he picked it up and gave it a big hug. He was so happy that he had a yummy snack. Then he saw a fallen leaf on the ground and wanted to pick it. His mom said it was available for Mike to pick it and he picked it up carefully. Then he",318,409,10.796875,10.78125,0.015625
1310,128,"Once upon a time there was a little girl. She was three years old and loved to learn new things. One day, she wanted to learn a new song. She asked her mom if she could learn her favourite song and her mom said yes. The little girl was excited and started to practice. She sang the song until she knew all the words. Every day, the little girl kept singing her song and soon she could sing it without any mistakes. When she felt she knew it perfect, she asked her mom if she could perform it for the family. The little girl was so proud when everyone clapped and cheered. She had learned",107,304,11.3984375,11.3828125,0.015625
1316,64,"Once there was a graceful bird. It was so graceful that it loved to fly around the sky. Every day, it woke up to the warm sun and flew up high. No matter what it did, it felt graceful. One day, the bird was thirsty so it flew to a river. It found a spot",12,13,10.765625,10.75,0.015625
1358,16,John and his mom were driving in the car. His mom had a map,65,107,10.453125,10.4375,0.015625
1479,64,"Tommy was a curious three year old. He liked to study things, but he didn't know what to study today. He saw a triangle on the ground, and he thought it was interesting. So, he decided to study it. He looked at all the sides, and he looked at the points. He",30,159,10.7421875,10.7265625,0.015625
1491,8,Once there was a new boy named,196,462,11.2421875,11.2265625,0.015625
1549,32,"Once upon a time, there was a big kangaroo. He was very strong and could jump really high. One day, he saw a little bird with a",1213,625,10.9921875,10.9765625,0.015625
1607,8,Once there was a man named J,709,47,8.3125,8.296875,0.015625
1729,128,"Anna and Ben were playing in the living room. They liked to pretend they were pirates and explorers. They used the furniture as their ships and islands. They had a lot of fun, but they also made a big mess. They threw pillows and blankets everywhere. They tied scarves and belts to the chairs and tables. ""Look, Anna, I made a flag!"" Ben said, waving a red scarf. ""We are the best pirates ever!"" ""Yes, we are!"" Anna agreed, holding a wooden spoon as a sword. ""But we have to be careful. There are sharks and crocodiles in the water!"" They jumped",94,194,11.6015625,11.5859375,0.015625
1755,32,"Once upon a time, two friends wanted to celebrate. They both loved insects, so they decided to go on an adventure to find some. The two friends",299,215,10.0078125,9.9921875,0.015625
1930,128,"Once upon a time, there was a lion named Leo. Leo had a lot of hair on his head and it was getting very long. He needed a haircut. Leo went to his friend, the monkey, and asked him if he knew where he could get a haircut. The monkey told him that there was a fierce barber in the nearby jungle who could give him a great haircut. Leo was scared to go to the fierce barber, but he knew he needed a haircut. So, he gathered all his courage and went to the fierce barber. The barber gave him a very nice haircut and Leo felt very proud of his new look.",62,34,12.046875,12.03125,0.015625
1992,128,"Once upon a time, there was a little girl named Lily. She loved to play with her toys and her favorite was a stuffed bear named Teddy. One day, Lily's mom offered to take her to the park to play. Lily was so happy and said, ""Yay! Thank you, Mommy!"" Her mom smiled and said, ""You're welcome, sweetie. It's a beautiful day outside and I want to spend time with you."" As they walked to the park, they saw a group of kids playing with a ball. Lily wanted to join in but she was shy. One of the kids, a boy",244,7907,11.765625,11.75,0.015625
174,128,"Once upon a time, there was a little boy named Timmy. Timmy loved sandwiches, especially peanut butter and jelly. One day, Timmy's mom made him a sandwich, but it looked pale and not very yummy. Timmy didn't want to eat it, but he didn't want to make his mom sad either. So, he just sat there and didn't eat. Timmy's mom noticed that he wasn't eating and asked him why. Timmy told her that the sandwich looked pale and didn't taste good. His mom felt sad but understood. She decided to make him a new sandwich with lots of",3171,877,7.37890625,7.359375,0.01953125
1959,64,"Once there was a little girl named Anna. She was 3 years old and loved to act. One day she was looking around, trying to figure out what to act. Suddenly, she saw something pink and unknown. She got excited and ran towards it! It was a big, pink balloon. She acted out her",1038,862,7.02734375,7.0078125,0.01953125
