prompt,backend,dtype,norm_backend,composition,batch_size,max_abs_diff,mean_abs_diff,top1_changed,top5_changed,output_identical,first_divergence_token,status,reason
Once upon a time,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float32,native,C_seven_short,8,7.152557373046875e-06,8.631076298115659e-07,False,False,True,,ok,
Once upon a time,eager,float32,native,D_one_long,2,7.152557373046875e-06,9.176943649435998e-07,False,False,True,,ok,
Once upon a time,eager,float32,native,E_mixed_lengths,4,7.62939453125e-06,8.743285775381082e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The little girl opened the door and,eager,float32,native,B_one_short,2,1.9073486328125e-06,3.2306741104548564e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,native,C_seven_short,8,9.5367431640625e-06,8.554194437238039e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,native,D_one_long,2,8.58306884765625e-06,8.868357213032141e-07,False,False,True,,ok,
The little girl opened the door and,eager,float32,native,E_mixed_lengths,4,8.58306884765625e-06,9.507873528491473e-07,False,False,True,,ok,
A friendly dragon lived,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,eager,float32,native,C_seven_short,8,7.62939453125e-06,7.291725978575414e-07,False,False,True,,ok,
A friendly dragon lived,eager,float32,native,D_one_long,2,5.7220458984375e-06,7.872687319832039e-07,False,False,True,,ok,
A friendly dragon lived,eager,float32,native,E_mixed_lengths,4,6.67572021484375e-06,7.691737664572429e-07,False,False,True,,ok,
Tom found a red ball,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Tom found a red ball,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Tom found a red ball,eager,float32,native,C_seven_short,8,9.5367431640625e-06,9.289648232879699e-07,False,False,True,,ok,
Tom found a red ball,eager,float32,native,D_one_long,2,7.62939453125e-06,9.950271078196238e-07,False,False,True,,ok,
Tom found a red ball,eager,float32,native,E_mixed_lengths,4,6.67572021484375e-06,1.0590243846309022e-06,False,False,True,,ok,
The dog was afraid because,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The dog was afraid because,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The dog was afraid because,eager,float32,native,C_seven_short,8,5.7220458984375e-06,8.436577445536386e-07,False,False,True,,ok,
The dog was afraid because,eager,float32,native,D_one_long,2,6.67572021484375e-06,8.465046903438633e-07,False,False,True,,ok,
The dog was afraid because,eager,float32,native,E_mixed_lengths,4,5.245208740234375e-06,9.004307344184781e-07,False,False,True,,ok,
In a small village,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
In a small village,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
In a small village,eager,float32,native,C_seven_short,8,6.67572021484375e-06,8.160969287018816e-07,False,False,True,,ok,
In a small village,eager,float32,native,D_one_long,2,5.245208740234375e-06,8.461312859253667e-07,False,False,True,,ok,
In a small village,eager,float32,native,E_mixed_lengths,4,7.62939453125e-06,9.31281931570993e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,native,B_one_short,2,2.384185791015625e-06,3.482308272850787e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,native,C_seven_short,8,6.67572021484375e-06,8.983279826679791e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,native,D_one_long,2,6.198883056640625e-06,9.094333677239774e-07,False,False,True,,ok,
Lily wanted to help her friend,eager,float32,native,E_mixed_lengths,4,6.67572021484375e-06,9.635275546315825e-07,False,False,True,,ok,
The old tree could speak,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The old tree could speak,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The old tree could speak,eager,float32,native,C_seven_short,8,7.152557373046875e-06,8.828764634927211e-07,False,False,True,,ok,
The old tree could speak,eager,float32,native,D_one_long,2,6.198883056640625e-06,9.081825851353642e-07,False,False,True,,ok,
The old tree could speak,eager,float32,native,E_mixed_lengths,4,5.7220458984375e-06,9.058767318492755e-07,False,False,True,,ok,
One sunny morning,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
One sunny morning,eager,float32,native,B_one_short,2,1.6689300537109375e-06,3.457840023202152e-07,False,False,True,,ok,
One sunny morning,eager,float32,native,C_seven_short,8,6.198883056640625e-06,9.717701914269128e-07,False,False,True,,ok,
One sunny morning,eager,float32,native,D_one_long,2,5.7220458984375e-06,9.189438401335792e-07,False,False,True,,ok,
One sunny morning,eager,float32,native,E_mixed_lengths,4,7.62939453125e-06,9.5984171366581e-07,False,False,True,,ok,
The treasure was hidden under,eager,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,eager,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,eager,float32,native,C_seven_short,8,7.152557373046875e-06,1.0121183322553406e-06,False,False,True,,ok,
The treasure was hidden under,eager,float32,native,D_one_long,2,6.198883056640625e-06,1.0677089221644565e-06,False,False,True,,ok,
The treasure was hidden under,eager,float32,native,E_mixed_lengths,4,6.67572021484375e-06,1.0664813316907384e-06,False,False,True,,ok,
Once upon a time,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Once upon a time,eager,float16,native,C_seven_short,8,0.0078125,0.000324419786920771,False,False,True,,ok,
Once upon a time,eager,float16,native,D_one_long,2,0.0078125,0.0004172447952441871,False,False,True,,ok,
Once upon a time,eager,float16,native,E_mixed_lengths,4,0.0078125,0.00041952598257921636,False,False,True,,ok,
The little girl opened the door and,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The little girl opened the door and,eager,float16,native,B_one_short,2,0.0078125,0.00011777387408073992,False,False,True,,ok,
The little girl opened the door and,eager,float16,native,C_seven_short,8,0.0078125,0.0006221538060344756,False,True,True,,ok,
The little girl opened the door and,eager,float16,native,D_one_long,2,0.0078125,0.0006154567818157375,False,False,True,,ok,
The little girl opened the door and,eager,float16,native,E_mixed_lengths,4,0.0078125,0.0006811046623624861,False,False,True,,ok,
A friendly dragon lived,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,eager,float16,native,C_seven_short,8,0.0078125,0.0005513352225534618,False,False,True,,ok,
A friendly dragon lived,eager,float16,native,D_one_long,2,0.0078125,0.0005935507942922413,False,False,True,,ok,
A friendly dragon lived,eager,float16,native,E_mixed_lengths,4,0.0078125,0.0007074993336573243,False,False,True,,ok,
Tom found a red ball,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Tom found a red ball,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Tom found a red ball,eager,float16,native,C_seven_short,8,0.0078125,0.0007279677083715796,False,False,True,,ok,
Tom found a red ball,eager,float16,native,D_one_long,2,0.0078125,0.0005819873185828328,False,False,True,,ok,
Tom found a red ball,eager,float16,native,E_mixed_lengths,4,0.0078125,0.0008032793994061649,False,False,True,,ok,
The dog was afraid because,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The dog was afraid because,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The dog was afraid because,eager,float16,native,C_seven_short,8,0.00390625,0.0005467977607622743,False,False,True,,ok,
The dog was afraid because,eager,float16,native,D_one_long,2,0.00390625,0.0005486794398166239,False,False,True,,ok,
The dog was afraid because,eager,float16,native,E_mixed_lengths,4,0.00390625,0.0006683111423626542,False,False,True,,ok,
In a small village,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
In a small village,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
In a small village,eager,float16,native,C_seven_short,8,0.0078125,0.0009093947592191398,False,False,True,,ok,
In a small village,eager,float16,native,D_one_long,2,0.00390625,0.0007179899257607758,False,False,True,,ok,
In a small village,eager,float16,native,E_mixed_lengths,4,0.00390625,0.0007038642070256174,False,False,True,,ok,
Lily wanted to help her friend,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Lily wanted to help her friend,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Lily wanted to help her friend,eager,float16,native,C_seven_short,8,0.00390625,0.0006446833722293377,False,False,True,,ok,
Lily wanted to help her friend,eager,float16,native,D_one_long,2,0.00390625,0.0007462630164809525,False,False,True,,ok,
Lily wanted to help her friend,eager,float16,native,E_mixed_lengths,4,0.00439453125,0.0007691829814575613,False,False,True,,ok,
The old tree could speak,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The old tree could speak,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The old tree could speak,eager,float16,native,C_seven_short,8,0.0078125,0.0006540798931382596,False,False,True,,ok,
The old tree could speak,eager,float16,native,D_one_long,2,0.00390625,0.0006022357265464962,False,False,True,,ok,
The old tree could speak,eager,float16,native,E_mixed_lengths,4,0.0078125,0.0007266981992870569,False,False,True,,ok,
One sunny morning,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
One sunny morning,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
One sunny morning,eager,float16,native,C_seven_short,8,0.00390625,0.0006087454385124147,False,False,True,,ok,
One sunny morning,eager,float16,native,D_one_long,2,0.005859375,0.0007206585723906755,False,False,True,,ok,
One sunny morning,eager,float16,native,E_mixed_lengths,4,0.0078125,0.000872180622536689,False,False,True,,ok,
The treasure was hidden under,eager,float16,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,eager,float16,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The treasure was hidden under,eager,float16,native,C_seven_short,8,0.005859375,0.0008097982499748468,False,False,True,,ok,
The treasure was hidden under,eager,float16,native,D_one_long,2,0.00390625,0.000831486948300153,False,False,True,,ok,
The treasure was hidden under,eager,float16,native,E_mixed_lengths,4,0.005859375,0.0007870167610235512,False,False,True,,ok,
Once upon a time,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Once upon a time,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Once upon a time,sdpa,float32,native,C_seven_short,8,6.198883056640625e-06,8.190656330953061e-07,False,False,True,,ok,
Once upon a time,sdpa,float32,native,D_one_long,2,7.152557373046875e-06,8.400921842621756e-07,False,False,True,,ok,
Once upon a time,sdpa,float32,native,E_mixed_lengths,4,5.7220458984375e-06,8.566356086703308e-07,False,False,True,,ok,
The little girl opened the door and,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The little girl opened the door and,sdpa,float32,native,B_one_short,2,2.86102294921875e-06,3.4748575217236066e-07,False,False,True,,ok,
The little girl opened the door and,sdpa,float32,native,C_seven_short,8,9.5367431640625e-06,8.38873802422313e-07,False,False,True,,ok,
The little girl opened the door and,sdpa,float32,native,D_one_long,2,8.106231689453125e-06,9.005669312500686e-07,False,False,True,,ok,
The little girl opened the door and,sdpa,float32,native,E_mixed_lengths,4,8.106231689453125e-06,9.345205285171687e-07,False,False,True,,ok,
A friendly dragon lived,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
A friendly dragon lived,sdpa,float32,native,C_seven_short,8,5.7220458984375e-06,6.99134261594736e-07,False,False,True,,ok,
A friendly dragon lived,sdpa,float32,native,D_one_long,2,6.67572021484375e-06,7.651065629943332e-07,False,False,True,,ok,
A friendly dragon lived,sdpa,float32,native,E_mixed_lengths,4,7.152557373046875e-06,7.964925430314906e-07,False,False,True,,ok,
Tom found a red ball,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Tom found a red ball,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
Tom found a red ball,sdpa,float32,native,C_seven_short,8,7.62939453125e-06,9.929570978783886e-07,False,False,True,,ok,
Tom found a red ball,sdpa,float32,native,D_one_long,2,7.62939453125e-06,9.880845937004779e-07,False,False,True,,ok,
Tom found a red ball,sdpa,float32,native,E_mixed_lengths,4,6.67572021484375e-06,1.0094552180817118e-06,False,False,True,,ok,
The dog was afraid because,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
The dog was afraid because,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
The dog was afraid because,sdpa,float32,native,C_seven_short,8,8.58306884765625e-06,8.552812573725532e-07,False,False,True,,ok,
The dog was afraid because,sdpa,float32,native,D_one_long,2,7.62939453125e-06,7.845836194064759e-07,False,False,True,,ok,
The dog was afraid because,sdpa,float32,native,E_mixed_lengths,4,6.67572021484375e-06,8.376513278562925e-07,False,False,True,,ok,
In a small village,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
In a small village,sdpa,float32,native,B_one_short,2,0.0,0.0,False,False,True,,ok,
In a small village,sdpa,float32,native,C_seven_short,8,8.58306884765625e-06,8.1520482808628e-07,False,False,True,,ok,
In a small village,sdpa,float32,native,D_one_long,2,8.58306884765625e-06,8.890960430107953e-07,False,False,True,,ok,
In a small village,sdpa,float32,native,E_mixed_lengths,4,6.67572021484375e-06,9.585457974026212e-07,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float32,native,A_target_only,1,0.0,0.0,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float32,native,B_one_short,2,2.1457672119140625e-06,4.105195330339484e-07,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float32,native,C_seven_short,8,6.198883056640625e-06,8.682587804287323e-07,False,False,True,,ok,
Lily wanted to help her friend,sdpa,float32,native,D_one_long,2,7.152557373046875e-06,9.134819833889196e-07,False,False,True,,ok,
