candidate_rank,prompt,prefix_length,baseline_margin,attention_backend,norm_backend,dtype,composition,batch_size,max_abs_diff,mean_abs_diff,top1_changed,top5_changed,output_identical,first_divergence_token,status,reason
1,Once upon a time there was a fairy who was very sad. She was very lonely and had no one to turn to. One day she decided to try,32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
1,Once upon a time there was a fairy who was very sad. She was very lonely and had no one to turn to. One day she decided to try,32,0.0,eager,native,float32,B_one_short,2,4.76837158203125e-06,5.86855094297789e-07,False,False,True,,ok,
1,Once upon a time there was a fairy who was very sad. She was very lonely and had no one to turn to. One day she decided to try,32,0.0,eager,native,float32,C_seven_short,8,2.86102294921875e-06,5.855434324075759e-07,False,False,True,,ok,
1,Once upon a time there was a fairy who was very sad. She was very lonely and had no one to turn to. One day she decided to try,32,0.0,eager,native,float32,D_one_long,2,6.198883056640625e-06,8.177040058399143e-07,False,False,True,,ok,
1,Once upon a time there was a fairy who was very sad. She was very lonely and had no one to turn to. One day she decided to try,32,0.0,eager,native,float32,E_mixed_lengths,4,5.7220458984375e-06,8.945081617639516e-07,False,False,True,,ok,
2,"John and Lucy were playing in the backyard. It was a sunny day. ""I want to play tag,"" said John. ""Ok!"" said Lucy.",32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
2,"John and Lucy were playing in the backyard. It was a sunny day. ""I want to play tag,"" said John. ""Ok!"" said Lucy.",32,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,5.834501735080266e-07,False,False,True,,ok,
2,"John and Lucy were playing in the backyard. It was a sunny day. ""I want to play tag,"" said John. ""Ok!"" said Lucy.",32,0.0,eager,native,float32,C_seven_short,8,3.814697265625e-06,4.767470613842306e-07,False,False,True,,ok,
2,"John and Lucy were playing in the backyard. It was a sunny day. ""I want to play tag,"" said John. ""Ok!"" said Lucy.",32,0.0,eager,native,float32,D_one_long,2,8.58306884765625e-06,7.89953787716513e-07,False,False,True,,ok,
2,"John and Lucy were playing in the backyard. It was a sunny day. ""I want to play tag,"" said John. ""Ok!"" said Lucy.",32,0.0,eager,native,float32,E_mixed_lengths,4,6.198883056640625e-06,8.316273465425184e-07,False,False,True,,ok,
3,Once there was a little boy named Chris. Chris loved playing in the forest,16,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
3,Once there was a little boy named Chris. Chris loved playing in the forest,16,0.0,eager,native,float32,B_one_short,2,5.7220458984375e-06,6.067538720344601e-07,False,False,True,,ok,
3,Once there was a little boy named Chris. Chris loved playing in the forest,16,0.0,eager,native,float32,C_seven_short,8,4.76837158203125e-06,6.295628622865479e-07,False,False,True,,ok,
3,Once there was a little boy named Chris. Chris loved playing in the forest,16,0.0,eager,native,float32,D_one_long,2,9.5367431640625e-06,9.103814591071568e-07,False,False,True,,ok,
3,Once there was a little boy named Chris. Chris loved playing in the forest,16,0.0,eager,native,float32,E_mixed_lengths,4,7.62939453125e-06,9.247275443158287e-07,False,False,True,,ok,
4,"Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she met a little boy named Max. Max asked Lily if she wanted to go on an adventure. ""Where are we going?"" asked Lily. ""We are going to explore the world,""",64,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
4,"Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she met a little boy named Max. Max asked Lily if she wanted to go on an adventure. ""Where are we going?"" asked Lily. ""We are going to explore the world,""",64,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,5.866940000487375e-07,False,False,True,,ok,
4,"Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she met a little boy named Max. Max asked Lily if she wanted to go on an adventure. ""Where are we going?"" asked Lily. ""We are going to explore the world,""",64,0.0,eager,native,float32,C_seven_short,8,6.198883056640625e-06,8.663466246616736e-07,False,False,True,,ok,
4,"Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she met a little boy named Max. Max asked Lily if she wanted to go on an adventure. ""Where are we going?"" asked Lily. ""We are going to explore the world,""",64,0.0,eager,native,float32,D_one_long,2,6.198883056640625e-06,8.663466246616736e-07,False,False,True,,ok,
4,"Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she met a little boy named Max. Max asked Lily if she wanted to go on an adventure. ""Where are we going?"" asked Lily. ""We are going to explore the world,""",64,0.0,eager,native,float32,E_mixed_lengths,4,5.245208740234375e-06,7.890845949987124e-07,False,False,True,,ok,
5,Mommy and daddy took their little girl to the park. She giggle and when she saw the big cart. She ran to it and asked Daddy to push her,32,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
5,Mommy and daddy took their little girl to the park. She giggle and when she saw the big cart. She ran to it and asked Daddy to push her,32,0.0,eager,native,float32,B_one_short,2,3.814697265625e-06,6.351483534672298e-07,False,False,True,,ok,
5,Mommy and daddy took their little girl to the park. She giggle and when she saw the big cart. She ran to it and asked Daddy to push her,32,0.0,eager,native,float32,C_seven_short,8,2.86102294921875e-06,5.61789477160346e-07,False,False,True,,ok,
5,Mommy and daddy took their little girl to the park. She giggle and when she saw the big cart. She ran to it and asked Daddy to push her,32,0.0,eager,native,float32,D_one_long,2,8.106231689453125e-06,1.0958509619740653e-06,False,False,True,,ok,
5,Mommy and daddy took their little girl to the park. She giggle and when she saw the big cart. She ran to it and asked Daddy to push her,32,0.0,eager,native,float32,E_mixed_lengths,4,9.5367431640625e-06,9.870734629657818e-07,False,False,True,,ok,
6,"Lily hated clowns. She hated their big red noses, their silly clothes, and their loud laughs. She hated how they made funny faces and threw pies at each other. She hated how they scared her with their balloons and tricks. One day, Lily had to go to a birthday party. She did not want to",64,0.0,eager,native,float32,A_target_only,1,0.0,0.0,False,False,True,,ok,
6,"Lily hated clowns. She hated their big red noses, their silly clothes, and their loud laughs. She hated how they made funny faces and threw pies at each other. She hated how they scared her with their balloons and tricks. One day, Lily had to go to a birthday party. She did not want to",64,0.0,eager,native,float32,B_one_short,2,4.76837158203125e-06,5.330325620889198e-07,False,False,True,,ok,
